Tweet_Link,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Likes,Retweets
https://twitter.com/chiitan7407/status/1815091736840192499,ちぃたん☆／Chiitan,https://twitter.com/chiitan7407,21-Jul,"OKDon't worry, Chiitan will be running for presidentchiitan2024",94K,16K
https://twitter.com/The_Kyle_Mann/status/1815083737056776656,Kyle Mann,https://twitter.com/The_Kyle_Mann,21-Jul,Biden is gonna be devastated when he learns about this,8.3K,644
https://twitter.com/ScottPresler/status/1815089056134398354,ThePersistence,https://twitter.com/ScottPresler,21-Jul,There’s nothing democratic about the democrat party.Millions of voters chose President Biden as their nominee& democrats are more concerned about power than anything else.This is just like 2016 when democrats rigged the election against Bernie.Voters don’t matter to them.,5.4K,654
https://twitter.com/Bubblebathgirl/status/1815081989269316015,Paul A. Szypula,https://twitter.com/Bubblebathgirl,21-Jul,Took you long enough. We’ve known since 2020 that Joe Biden wasn’t fit to serve.Now look at the damage that’s been done.Trump will fix it.,5.2K,312
https://twitter.com/gabrieloguda/status/1815084953010381204,Gabriel Oguda,https://twitter.com/gabrieloguda,21-Jul,Mungu bariki wengine sasa.,2.6K,338
https://twitter.com/FiveTimesAugust/status/1815088951172243555,Five Times August,https://twitter.com/FiveTimesAugust,21-Jul,Wha happened??,4.3K,221
https://twitter.com/DanielRegha/status/1815096327509828051,Daniel Regha,https://twitter.com/DanielRegha,21-Jul,"Joe Biden, it will be great if u can use ur remaining time in office as the president to end the ongoing wars; The Russia-Ukraine conflict, with the Israel Gaza war. This should be top priority, lives have been ruined as a result.",447,34
https://twitter.com/RyanAFournier/status/1815112386367594702,Ryan Fournier,https://twitter.com/RyanAFournier,21-Jul,"Where’s the official letterhead? You’re President, right?Looks like a coup",1.5K,183
https://twitter.com/cliffschecter/status/1815132751638769967,Cliff Schecter,https://twitter.com/cliffschecter,21-Jul,"Our Emergency Pod on this selfless act by this amazing President, who frankly saved our democracy",55,13
https://twitter.com/shxtou/status/1815086706749493338,Shoto,https://twitter.com/shxtou,21-Jul,it's actually JOEVER?,9.2K,361
https://twitter.com/real_defender/status/1815081106007335145,Real Defender,https://twitter.com/real_defender,21-Jul,Joe is resigning!Only because he got caught.,7.6K,138
https://twitter.com/JoeyMannarinoUS/status/1815081136109846734,Joey Mannarino,https://twitter.com/JoeyMannarinoUS,21-Jul,"The Democrats just threw 15,000,000 votes out!",9.9K,449
https://twitter.com/Bubblebathgirl/status/1815083401432408090,Paul A. Szypula,https://twitter.com/Bubblebathgirl,21-Jul,"Joe Biden is lying.We don’t have the strongest economy. Inflation averaged over 5% during his admin.It averaged under 2% during Trump.Wages are down 4%, prices up 20%.KBJ on SCOTUS can’t define what a woman is.Biden let in over 10 million illegals.WORST “POTUS” EVER!",4.4K,496
https://twitter.com/MJTruthUltra/status/1815087565306732696,MJTruthUltra,https://twitter.com/MJTruthUltra,21-Jul,"Every Democrat Voter needs to carefully examine what just happenedThe DNC just subverted the will of the people… YOU elected Biden in the Primary Election.Now you will be left with someone nobody voted for, that they will install Your party has gone full blown communist.",3.5K,784
https://twitter.com/krassenstein/status/1815088856955330656,Brian Krassenstein,https://twitter.com/krassenstein,21-Jul,Thank you for everything you have done Mr. President.You have put America ahead of yourself unlike others.,4.9K,284
https://twitter.com/cmclymer/status/1815092730294354321,Charlotte Clymer,https://twitter.com/cmclymer,21-Jul,"Thank you for your lifetime of service, Mr. President. We will win this election and build on the extraordinary accomplishments of your administration.",981,48
https://twitter.com/hodgetwins/status/1815191893572977058,Hodgetwins,https://twitter.com/hodgetwins,22-Jul,Did y’all tell Joe you faked his signature and posted this yet?,2.5K,109
https://twitter.com/4isacharm4me/status/1815119013527118068,4isacharm,https://twitter.com/4isacharm4me,21-Jul,Your resignation letter is full of lies. You never change,200,44
https://twitter.com/GrageDustin/status/1815081410375365030,Dustin Grage,https://twitter.com/GrageDustin,21-Jul,It’s Joeover.,1.5K,62
https://twitter.com/slycorddd/status/1815081107315945935,SlyGoodman,https://twitter.com/slycorddd,21-Jul,We got Joe Biden standing down before gta6,14K,369
https://twitter.com/RealJakeBroe/status/1815086221112340934,Jake Broe,https://twitter.com/RealJakeBroe,21-Jul,"Thank you, Mr. President.  You are a true patriot and history will remember you as a great president for making this tough decision.",1.2K,64
https://twitter.com/Mario_4411/status/1815081232742728059,Mario,https://twitter.com/Mario_4411,21-Jul,"We love you Joe! Finish your term and spend the rest of your time with family and friends, we will take it from here! We will win in your name.",7.1K,199
https://twitter.com/RpsAgainstTrump/status/1815082272669700171,Republicans against Trump,https://twitter.com/RpsAgainstTrump,21-Jul,"Thank you, Mr. president",8K,233
https://twitter.com/lottareds/status/1815085398575473012,red,https://twitter.com/lottareds,21-Jul,not reading all that but good for you I guess,1K,42
https://twitter.com/JaredRyanSears/status/1815082590920904959,Jared Ryan Sears,https://twitter.com/JaredRyanSears,21-Jul,"Thank you for all that you did for us Mr. President.It is a disgrace that rich donors, political elites, and podcasters worked harder to push you out than they did to defeat Donald Trump.The Democratic party did nothing but create more trouble and hurdles for themselves.",5.2K,344
https://twitter.com/greg16676935420/status/1815082262028820508,greg,https://twitter.com/greg16676935420,21-Jul,Did anyone else notice this???,11K,275
https://twitter.com/kim/status/1815103190804926917,Kim,https://twitter.com/kim,21-Jul,"Thank you for your service, Mr. President. You helped the country face incredibly difficult challenges and did so with grace and courage. Thank you for caring. Thank you for serving. God bless!",63,5
https://twitter.com/TPAction_/status/1815087929997537761,Turning Point Action,https://twitter.com/TPAction_,21-Jul,"JOE: “I’m not competent to run for re-election, but I’m totally fine to handle the nuclear codes and run the country.”It’s time for America to start having serious conversations about the 25th Amendment.",74,14
https://twitter.com/KenilMetiya/status/1815662491348693485,Kenil Metiya,https://twitter.com/KenilMetiya,23-Jul,screenshot this,,
https://twitter.com/pikaso_me/status/1815662666821562645,Pikaso,https://twitter.com/pikaso_me,23-Jul,Enjoy your screenshot and...Get 10 stickers for $1:,,
https://twitter.com/hasjeet/status/1817937615447806144,hasjeet,https://twitter.com/hasjeet,29-Jul,screenshot this,,
https://twitter.com/pikaso_me/status/1817937774542020649,Pikaso,https://twitter.com/pikaso_me,29-Jul,Enjoy your screenshot and...Get 10 stickers for $1:,,
https://twitter.com/4HumanUnity/status/1815088181177684175,Human,https://twitter.com/4HumanUnity,21-Jul,". Dear Mr. President, let us express our profound gratitude for your unyielding service to our nation. Your leadership during these tumultuous times has been outstanding. Your unwavering commitment to unity, justice, and progress has left a lasting impact on our country.",3K,730
https://twitter.com/harryjsisson/status/1815085530771607925,Harry Sisson,https://twitter.com/harryjsisson,21-Jul,"Thank you for your service, Mr. President.",6.2K,376
https://twitter.com/EndWokeness/status/1815081466306388262,End Wokeness,https://twitter.com/EndWokeness,21-Jul,14 million primary voters vs Obama. Guess who won out.Democracy?,12K,582
https://twitter.com/DrewPavlou/status/1815082609866932629,Drew Pavlou,https://twitter.com/DrewPavlou,21-Jul,Best President in decades - thank you for helping to save Ukraine and thank you for doing the right thing!,7.2K,192
https://twitter.com/KariLake/status/1815090872654110953,Kari Lake,https://twitter.com/KariLake,21-Jul,You have done everything in your power to destroy America.  The election can’t come soon enough.  Trump 2024!,3.9K,287
https://twitter.com/PlanetOfMemes/status/1815081396710342682,Planet Of Memes,https://twitter.com/PlanetOfMemes,21-Jul,Done?,2.3K,196
https://twitter.com/ConservBlue2020/status/1815083045437022306,CB—,https://twitter.com/ConservBlue2020,21-Jul,Thank You Mr. President.You already made history— you humiliated the former guy in 2020.Trump is going to lose again in November.Cry more MAGA snowflakes.,3.9K,161
https://twitter.com/mangekimambi/status/1815081471562092687,Mange Kimambi,https://twitter.com/mangekimambi,21-Jul,"Wow, we Love you Biden, thank you for doing what’s right. You really Love your country. Wow.  Dems? Now let’s go kick Trump’s ass!!!",2K,45
https://twitter.com/ElonMuskAOC/status/1815081122319253641,Elon Musk (Parody),https://twitter.com/ElonMuskAOC,21-Jul,BRO FINALLY,19K,499
https://twitter.com/CovfefeChan/status/1815092823957618981,FeFe,https://twitter.com/CovfefeChan,21-Jul,Does that mean these can come back?,1.3K,39
https://twitter.com/JoeyMannarinoUS/status/1815081917013766347,Joey Mannarino,https://twitter.com/JoeyMannarinoUS,21-Jul,Why is there no endorsement of Silver Throat in this letter?Don’t trust her?,1.2K,42
https://twitter.com/JoinPatriots/status/1815084625221357643,patriots.win,https://twitter.com/JoinPatriots,21-Jul,"Unfortunately, Joe has never liked black folks.",1.1K,34
