Tweet_Link,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Likes,Retweets
https://twitter.com/zinkdid/status/1815085965565726749,zink (,https://twitter.com/zinkdid,21-Jul,trump is the chosen onegod is protecting all of usit will be a great 4 years,105,1
https://twitter.com/Bzalkanowski/status/1815086053705105644,Balkan Havaları,https://twitter.com/Bzalkanowski,Jul 21Jul 21,#SonDakika Biden çekildi! #Trump #Biden,9,3
https://twitter.com/OversightPR/status/1815086092653072632,Oversight Project,https://twitter.com/OversightPR,21-Jul,So is all this gonna stop now ? ,78,10
https://twitter.com/AmericaPapaBear/status/1815086339408470451,AmericanPapaBear,https://twitter.com/AmericaPapaBear,21-Jul,Joe is a failure and a quitter. Good riddance,136,2
https://twitter.com/wallstreetbets/status/1815086523450028504,wallstreetbets,https://twitter.com/wallstreetbets,21-Jul,you're late once again,59,1
https://twitter.com/classicsgroyp/status/1815086681629835445,classicsgroyp,https://twitter.com/classicsgroyp,Jul 21Jul 21,It's joeverWow Biden really dropped out,31,4
https://twitter.com/TAB_TAB_HH/status/1815087774934147098,TJ,https://twitter.com/TAB_TAB_HH,21-Jul,"Wow, what a surprise!  He should have dropped out 4 years ago!",8,
https://twitter.com/KnuckleballCG66/status/1815088312564011134,KnuckleballCraig,https://twitter.com/KnuckleballCG66,21-Jul,It was the best decision for both him and the country.,22,3
https://twitter.com/WNest83876/status/1815088320294117773,Wellnest Courses,https://twitter.com/WNest83876,21-Jul,"Joe Biden has devoted his life to serving our nation. His leadership and dedication have left a lasting impact. Thank you, Mr. President, for consistently putting America first.",32,6
https://twitter.com/retro_digs/status/1815087466719936978,Musings on old-school Music and Popular culture,https://twitter.com/retro_digs,21-Jul,Correction. Weeks of mounting pressure from the press,94,3
https://twitter.com/savvyrioba/status/1815098694167122401,TECH_SAVVY ,https://twitter.com/savvyrioba,21-Jul,He was not capable.,,
https://twitter.com/TizzmeExtension/status/1815086064731656428,Tizzme,https://twitter.com/TizzmeExtension,21-Jul,What a twist!,1,
https://twitter.com/tophari99/status/1815087100926292173,KRAKEN,https://twitter.com/tophari99,21-Jul,Biden can’t beat Trump so he bows out like a chump.,1,
https://twitter.com/Whiskey_Hell/status/1815087104709587251,Whiskey Hell,https://twitter.com/Whiskey_Hell,Jul 21Jul 21,Who will be the Democrats choice for Presidential nominee?Write in other candidates as you like…,2,
https://twitter.com/CoreyCicero/status/1815087142126723314,Corey Cicero,https://twitter.com/CoreyCicero,21-Jul,Late,1,
https://twitter.com/FarmandFreedom/status/1815087279159070903,Farm&Freedom,https://twitter.com/FarmandFreedom,21-Jul,Good riddance!,8,
https://twitter.com/KeezNuts/status/1815087560617820661,Keez Nuts,https://twitter.com/KeezNuts,21-Jul,Well Bye Den ,5,
https://twitter.com/swankpie/status/1815088210391060726,SWANKPIE,https://twitter.com/swankpie,21-Jul,He just pitched us K Harris,2,
https://twitter.com/DonaldMakhasane/status/1815089035066417562,𝖳𝗁𝖾 𝖠𝗅𝖼𝗁𝖾𝗆𝗂𝗌𝗍,https://twitter.com/DonaldMakhasane,21-Jul,"He had to, imagine competing against Elon Musk and Donald Trump at once , haibo!!",2,
https://twitter.com/prettzie/status/1815091494380040462,Susan,https://twitter.com/prettzie,21-Jul,I hope he considers a Harris/Biden ticket.   That would be such a cool thing!,1,
https://twitter.com/bdnews24/status/1815086016702631991,Bangladesh News 24,https://twitter.com/bdnews24,Jul 21Jul 21,"TRUMP'S FINAL YEAR AS PRESIDENT REVISITED""History, as it happened: A reminder of what unfolded in Donald Trump's final year as president. This compelling documentary takes viewers back to the tumultuous first six months of 2020, offering a detailed look at the key events and",4,
https://twitter.com/zinkdid/status/1815088630375018711,zink (,https://twitter.com/zinkdid,21-Jul,is that a threat,2,
https://twitter.com/1mgoblue/status/1815089434871632187,Bob,https://twitter.com/1mgoblue,21-Jul,It took president Trump less than 90 minutes. One debate. Two totally destroy this idiot.,,
https://twitter.com/TheJewishTexan/status/1815090330556936492,Jewish Texan,https://twitter.com/TheJewishTexan,21-Jul,Just another lie from him and his admin. Should expect it when that’s all he’s done his entire political career,4,
https://twitter.com/NextProScouts/status/1815092219755258333,Next Pro Scouting,https://twitter.com/NextProScouts,21-Jul,He didn’t have party support.,2,
https://twitter.com/BellamSwathi/status/1815094390400205196,Swathi Bellam,https://twitter.com/BellamSwathi,21-Jul,Joe was the second worst choice for democratic president The first is Kamala ma’am ,4,
https://twitter.com/AlexForbex/status/1815095179726168554,Alex Forbex,https://twitter.com/AlexForbex,21-Jul,This will definitely shake up the 2024 race.,3,
https://twitter.com/Rhymaholic/status/1815089402051170583,MVI,https://twitter.com/Rhymaholic,21-Jul,Good. Trump will still be the next president.,32,
https://twitter.com/tedschnei/status/1815090970209431647,theUnCivilOne,https://twitter.com/tedschnei,21-Jul,"Why, say why",,
https://twitter.com/Hell1s/status/1815114244150497406,Hell1s,https://twitter.com/Hell1s,21-Jul,Late again CNN! I got the news on X from my favorite rapper then I saw Biden’s post ,1,
https://twitter.com/logansrunner113/status/1815321161644818576,Highly Toxic Penguin,https://twitter.com/logansrunner113,22-Jul,RFK FTW,,
https://twitter.com/Goo_Gurt_/status/1815094258119987628,Goo,https://twitter.com/Goo_Gurt_,21-Jul,Goodnight sweet prince. Sleepy Joe can finally rest.,1,
https://twitter.com/Rex435707/status/1815096760920076356,렉스,https://twitter.com/Rex435707,21-Jul,Thank you for your hard work.,1,
https://twitter.com/swamiraj636/status/1815100126391587070,Rajkumar swami,https://twitter.com/swamiraj636,21-Jul,this meme came to life.,1,
https://twitter.com/geoexplor3/status/1815102955588337959,AG,https://twitter.com/geoexplor3,Jul 21Jul 21, right nowJoe Biden @POTUS in the White House right now:,6,
https://twitter.com/cubuffnSD/status/1815115307851436438,Tim Yackle ,https://twitter.com/cubuffnSD,21-Jul,He was never capable to hold the office.  It’s been run by a mysterious committee the last 3+ years,,
https://twitter.com/SunsoftMemes/status/1815197149342183508,Sunsoft Memes,https://twitter.com/SunsoftMemes,22-Jul,"During 4 years, you wanted us to believe that the King was wearing invisible clothes.Now, you finally admitted that the King was naked this whole time.",,
https://twitter.com/ghamandi99/status/1815137376374591651,अहंकारी घमंडी ,https://twitter.com/ghamandi99,21-Jul,Good work,,
https://twitter.com/flybymed83/status/1815172818356637797,Ken Roberts,https://twitter.com/flybymed83,21-Jul,Good riddance. Should have stepped down after the Afghanistan fiasco.,,
https://twitter.com/shafiihamidu/status/1815093747254002163,Shafi'i Hamidu,https://twitter.com/shafiihamidu,Jul 21Jul 21,"Kamala Harris is now the presidential candidate for democratsSince after the presidential debate between Mr. Trump and President Biden, it shows clearly that Mr. Biden is not in the best state of health to be able to continue with this race. Mr. Trump was clearly ahead both in",,
https://twitter.com/Bhappy9011/status/1815087273408389120,Anu ,https://twitter.com/Bhappy9011,21-Jul,Good for America,1,
https://twitter.com/justinorlando/status/1815088125439598933,notjustinorlando,https://twitter.com/justinorlando,21-Jul,Hand off the baton,1,
https://twitter.com/itsAviJha15/status/1815086301244239958,Avi jha,https://twitter.com/itsAviJha15,21-Jul,Then who face trump ??,1,
https://twitter.com/OfsaytiBozan/status/1815086688106111146,Ofsayti Bozan Adam,https://twitter.com/OfsaytiBozan,21-Jul,"Biden retired, trump is coming",2,
https://twitter.com/FablosJanny/status/1815086721140236694,FablosJanny,https://twitter.com/FablosJanny,21-Jul,Nice one Joe,1,
https://twitter.com/is_horton/status/1815086826345918948,𝕏 Horton 𝕏,https://twitter.com/is_horton,21-Jul,The Democrats’ insurrection is underway.,2,1
https://twitter.com/SagarNemiwal/status/1815087052658196582,किसान पुत्र सागर नेमीवाल ,https://twitter.com/SagarNemiwal,21-Jul,Biden out of the presidential race…Withdrawn his name…,1,
https://twitter.com/SadiaShaukat10/status/1815087741425930580,Sadia S,https://twitter.com/SadiaShaukat10,21-Jul,"He made this decision very late, and it will cost the Democrats this election",36,2
https://twitter.com/theDDixit/status/1815087754482794844,Dharmesh Dixit,https://twitter.com/theDDixit,21-Jul,"The only way not to lose, is not running!",,
https://twitter.com/itsAviJha15/status/1815086233980113281,Avi jha,https://twitter.com/itsAviJha15,21-Jul,What??? ,1,
https://twitter.com/LJLaValle/status/1815087050363715969,L,https://twitter.com/LJLaValle,21-Jul,Media pundits said he was “sharp as a tack” tho….What’s the next spoon fed lie?,,
https://twitter.com/gistwhere/status/1815088663790817689,,https://twitter.com/gistwhere,21-Jul,The Democrats have lost then,2,
https://twitter.com/PANKAJ_KHAKHIL/status/1815089805199597767,पंकज चौधरी,https://twitter.com/PANKAJ_KHAKHIL,21-Jul,Democracy??????,7,
